JavaScript
Swift
Python
Rust
Haskell
PureScript
Go
Scala
Ruby
Clojure
ClojureScript
Elixir
Elm
Erlang
Julia
Lua
C
C/C++
R
D
Common
Perl
Groovy
Dart
Java
Kotlin
OCaml
ColdFusion
Fortran
PHP
Pascal
AutoHotkey
AutoIt
Crystal
Frege
CMake
ActionScript 3
Eta
Idris
Ada/SPARK
Q#
Imba
Vala
Coq
V
Zig
Move
Esolangs
